route_id,service_id,trip_id,trip_headsign,shape_id
1VTA,VSPRFRISAT16,1SPR16FS_OUT_1VTA,Edgartown,1OUTVTA
1VTA,VSPRSATSUN16,1SPR16SS_OUT_1VTA,Edgartown,1OUTVTA

1VTA,VTASEPT16,1VTASEPT16_IN_36V,Vineyard Haven,1INVTA
1VTA,VTASEPT16,1VTASEPT16_IN_37V,Vineyard Haven,1INVTA
1VTA,VTASEPT16,1VTASEPT16_IN_1V,Vineyard Haven,1INVTA
1VTA,VTASEPT16,1VTASEPT16_IN_2V,Vineyard Haven,1INVTA
1VTA,VTASEPT16,1VTASEPT16_IN_3V,Vineyard Haven,1INVTA
1VTA,VTASEPT16,1VTASEPT16_IN_4V,Vineyard Haven,1INVTA
1VTA,VTASEPT16,1VTASEPT16_IN_5V,Vineyard Haven,1INVTA
1VTA,VTASEPT16,1VTASEPT16_IN_6V,Vineyard Haven,1INVTA
1VTA,VTASEPT16,1VTASEPT16_IN_7V,Vineyard Haven,1INVTA
1VTA,VTASEPT16,1VTASEPT16_IN_8V,Vineyard Haven,1INVTA
1VTA,VTASEPT16,1VTASEPT16_IN_9V,Vineyard Haven,1INVTA
1VTA,VTASEPT16,1VTASEPT16_IN_10V,Vineyard Haven,1INVTA
1VTA,VTASEPT16,1VTASEPT16_IN_11V,Vineyard Haven,1INVTA
1VTA,VTASEPT16,1VTASEPT16_IN_12V,Vineyard Haven,1INVTA
1VTA,VTASEPT16,1VTASEPT16_IN_13V,Vineyard Haven,1INVTA
1VTA,VTASEPT16,1VTASEPT16_IN_14V,Vineyard Haven,1INVTA
1VTA,VTASEPT16,1VTASEPT16_IN_15V,Vineyard Haven,1INVTA
1VTA,VTASEPT16,1VTASEPT16_IN_16V,Vineyard Haven,1INVTA
1VTA,VTASEPT16,1VTASEPT16_IN_17V,Vineyard Haven,1INVTA
1VTA,VTASEPT16,1VTASEPT16_IN_18V,Vineyard Haven,1INVTA
1VTA,VTASEPT16,1VTASEPT16_IN_19V,Vineyard Haven,1INVTA
1VTA,VTASEPT16,1VTASEPT16_IN_20V,Vineyard Haven,1INVTA
1VTA,VTASEPT16,1VTASEPT16_IN_21V,Vineyard Haven,1INVTA
1VTA,VTASEPT16,1VTASEPT16_IN_22V,Vineyard Haven,1INVTA
1VTA,VTASEPT16,1VTASEPT16_IN_23V,Vineyard Haven,1INVTA
1VTA,VTASEPT16,1VTASEPT16_IN_24V,Vineyard Haven,1INVTA
1VTA,VTASEPT16,1VTASEPT16_IN_25V,Vineyard Haven,1INVTA
1VTA,VTASEPT16,1VTASEPT16_IN_26V,Vineyard Haven,1INVTA
1VTA,VTASEPT16,1VTASEPT16_IN_27V,Vineyard Haven,1INVTA
1VTA,VTASEPT16,1VTASEPT16_IN_28V,Vineyard Haven,1INVTA
