route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id
SALEMBOAT,SALEMENDFABOAT,15SALEMBOAT, , , , 
SALEMBOAT,SALEMWEFABOAT,16SALEMBOAT, , , , 
SALEMBOAT,SALEMENDFABOAT,17SALEMBOAT, , , , 
SALEMBOAT,SALEMWEFABOAT,18SALEMBOAT, , , , 
SALEMBOAT,SALEMFRSAFABOAT,19SALEMBOAT, , , , 
PROV1BOAT,BAYST1BOAT,1BAYSTBOAT,Provincetown, , , 
PROV1BOAT,BAYST1BOAT,2BAYSTBOAT,Provincetown, , , 
PROV1BOAT,BAYST1BOAT,3BAYSTBOAT,Provincetown, , , 
PROV1BOAT,BAYST2BOAT,4BAYSTBOAT,Provincetown, , , 
PROV1BOAT,BAYST1BOAT,5BAYSTBOAT,Boston, , , 
PROV1BOAT,BAYST1BOAT,6BAYSTBOAT,Boston, , , 
PROV1BOAT,BAYST1BOAT,7BAYSTBOAT,Boston, , , 
PROV1BOAT,BAYST2BOAT,8BAYSTBOAT,Boston, , , 
PROV2BOAT,HARBOMOWESUBOAT,HARBO1BOAT,Provincetown, , , 
PROV2BOAT,HARBOMOWESUBOAT,HARBO2BOAT,Provincetown, , , 
PROV2BOAT,HARBOMOWESUBOAT,HARBO3BOAT,Boston, , , 
PROV2BOAT,HARBOMOWESUBOAT,HARBO4BOAT,Boston, , , 
PROV2BOAT,HARBOTHSUSUBOAT,HARBO5BOAT,Provincetown, , , 
PROV2BOAT,HARBOTHSUSUBOAT,HARBO6BOAT,Provincetown, , , 
PROV2BOAT,HARBOTHSUSUBOAT,HARBO7BOAT,Provincetown, , , 
PROV2BOAT,HARBOTHSUSUBOAT,HARBO8BOAT,Boston, , , 
PROV2BOAT,HARBOTHSUSUBOAT,HARBO9BOAT,Boston, , , 
PROV2BOAT,HARBOTHSUSUBOAT,HARBO10BOAT,Boston, , , 
PROV2BOAT,HARBOLABORBOAT,HARBO11BOAT,Provincetown, , , 
PROV2BOAT,HARBOLABORBOAT,HARBO12BOAT,Provincetown, , , 
PROV2BOAT,HARBOLABORBOAT,HARBO13BOAT,Provincetown, , , 
