service_id,date,exception_type
ISLANDSUSUBOAT,20090907,1
ISLANDDASUBOAT,20101012,2
FALMOSUFABOAT,20101012,1
FALMOMOSASUBOAT,20090907,2
FALMOSUSUBOAT,20090907,1
NEFASTSUBOAT,20090907,1
QUONSWEFABOAT,20090922,2
QUONSWEFABOAT,20090923,2
QUONSENDOCBOAT,20091012,1
QUONSFRFABOAT,20091009,1
QUONSFROCBOAT,20091009,2
